HJD,MAG,MERR
2460075.3625426996,12.634,0.009
2460075.3640026585,12.625,0.008
2460075.3654726166,12.609,0.008
2460075.366942575,12.585,0.008
2460075.368412534,12.609,0.008
2460075.369882492,12.591,0.007
2460075.371342451,12.604,0.007
2460075.372812409,12.597,0.007
2460075.3742823675,12.575,0.007
2460075.375752326,12.625,0.007
2460075.377222284,12.599,0.007
2460075.378692243,12.601,0.007
2460075.3821321446,12.631,0.009
2460075.383592104,12.613,0.008
2460075.385062062,12.568,0.007
2460075.3865320208,12.581,0.007
2460075.3880019784,12.619,0.008
2460075.389471937,12.62,0.008
2460075.390941895,12.604,0.007
2460075.392401854,12.622,0.009
2460075.3938718126,12.579,0.007
2460075.395331771,12.613,0.007
2460075.396801729,12.617,0.008
2460075.3982616877,12.592,0.007
2460075.399741646,12.588,0.008
2460075.4012116035,12.568,0.007
2460075.4046415063,12.613,0.007
2460075.406101465,12.618,0.008
2460075.407571423,12.598,0.007
2460075.409021382,12.603,0.007
2460075.4104913403,12.633,0.008
2460075.4119612984,12.617,0.007
2460075.4134312565,12.605,0.007
2460075.414901215,12.617,0.007
2460075.4163611736,12.618,0.008
2460075.4198010755,12.594,0.006
2460075.421261034,12.657,0.008
2460075.422730992,12.614,0.007
2460075.42420095,12.646,0.008
2460075.4256909075,12.628,0.008
2460075.4271608656,12.62,0.008
2460075.4286308237,12.615,0.008
2460075.430100782,12.626,0.008
2460075.4315607403,12.629,0.007
2460075.4330306984,12.644,0.007
2460075.4345006566,12.61,0.007
2460075.4359706147,12.606,0.006
2460075.4393905173,12.612,0.007
2460075.4408504753,12.608,0.007
2460075.4423204334,12.608,0.007
2460075.4437903916,12.617,0.007
2460075.4452603497,12.605,0.008
2460075.4467203077,12.62,0.007
2460075.448190266,12.614,0.007
2460075.4496502243,12.6,0.007
2460075.4511201824,12.598,0.007
2460075.45259014,12.636,0.008
2460075.454060098,12.608,0.007
2460075.4555200567,12.608,0.007
2460075.4569700155,12.627,0.007
2460075.458439973,12.614,0.008
2460075.4618898747,12.628,0.008
2460075.4633498327,12.618,0.007
2460075.4648197903,12.625,0.008
2460075.4662897484,12.614,0.007
2460075.4677497065,12.599,0.008
2460075.4692196646,12.623,0.007
2460075.4713996025,12.629,0.008
2460075.4728695606,12.623,0.007
2460075.4743195185,12.611,0.007
2460075.4777594204,12.596,0.007
2460075.4792193784,12.633,0.008
2460075.480699336,12.611,0.008
2460075.482169294,12.605,0.007
2460075.483629252,12.62,0.007
2460075.48509921,12.628,0.007
2460075.486559168,12.613,0.006
2460075.4880291256,12.623,0.007
2460075.4894990837,12.61,0.007
2460075.492928985,12.631,0.008
2460075.494388943,12.61,0.008
2460075.4958589007,12.62,0.008
2460075.497328859,12.625,0.008
2460075.4987988165,12.627,0.007
2460075.5002587745,12.603,0.007
2460075.501728732,12.613,0.006
2460075.5031986902,12.632,0.007
2460075.504668648,12.614,0.007
2460075.506128606,12.618,0.006
2460075.5075985636,12.61,0.006
2460075.509068521,12.611,0.007
2460075.510538479,12.619,0.007
2460075.5139583806,12.632,0.008
2460075.5154183386,12.643,0.007
2460075.516888296,12.644,0.007
2460075.518358254,12.636,0.007
2460075.5198182114,12.629,0.007
2460075.521288169,12.631,0.007
2460075.5227581267,12.64,0.006
2460075.524228085,12.642,0.008
2460075.5256980425,12.655,0.008
2460075.527158,12.631,0.008
2460075.5286379578,12.62,0.007
2460075.5300979153,12.636,0.007
2460075.531567873,12.625,0.007
2460075.5330378306,12.64,0.008
2460075.5345077883,12.636,0.007
2460075.535977746,12.633,0.006
2460075.5374477035,12.643,0.007
2460075.538917661,12.675,0.008
2460075.5423275623,12.628,0.007
2460075.5437875204,12.641,0.008
2460075.5452574776,12.635,0.007
2460075.5467374353,12.65,0.007
2460075.5482073925,12.652,0.007
2460075.5496673505,12.641,0.008
2460075.5511373077,12.65,0.007
2460075.5526072653,12.639,0.007
2460075.554077223,12.631,0.007
2460075.5555471806,12.636,0.008
2460075.557027138,12.626,0.006
2460075.5584870954,12.653,0.007
2460075.5619769944,12.647,0.008
2460075.563446952,12.639,0.007
2460075.5649069096,12.623,0.008
2460075.5663768672,12.649,0.008
2460075.5678468244,12.624,0.006
2460075.569316782,12.63,0.008
2460075.5707767396,12.65,0.007
2460075.5722466973,12.636,0.006
2460075.5737166544,12.641,0.008
2460075.575186612,12.637,0.008
2460075.5766465697,12.642,0.008
2460075.578116527,12.637,0.008
2460075.5795864845,12.633,0.007
2460075.583016385,12.622,0.007
2460075.5844763424,12.601,0.008
2460075.5859463,12.649,0.007
2460075.5874062576,12.617,0.007
2460075.588876215,12.63,0.008
2460075.590356172,12.628,0.007
2460075.5918161296,12.635,0.007
2460075.593286087,12.616,0.007
2460075.5947560444,12.623,0.008
2460075.5962260016,12.608,0.007
2460075.597685959,12.622,0.007
2460075.5991559164,12.617,0.007
2460075.6006258735,12.626,0.009
2460075.602095831,12.625,0.008
2460075.603565788,12.604,0.009
2460075.605035745,12.597,0.009
